"","GDAY_DS","T_ID","ER","WLS"
"1",20200505,"HH",0,1
"2",20200506,"HH",1.25,0.75
"3",20200507,"HH",1.83,0.72
"4",20200508,"HH",2.25,0.67
"5",20200509,"HH",2.52,0.61
"6",20200510,"HH",2.74,0.57
"7",20200512,"HH",2.86,0.53
"8",20200513,"HH",2.94,0.49
"9",20200514,"HH",2.97,0.47
"10",20200515,"HH",2.97,0.47
"11",20200516,"HH",2.99,0.46
"12",20200517,"HH",3.01,0.45
"13",20200519,"HH",3.09,0.45
"14",20200520,"HH",3.17,0.44
"15",20200521,"HH",3.25,0.44
"16",20200522,"HH",3.31,0.44
"17",20200523,"HH",3.35,0.44
"18",20200524,"HH",3.41,0.44
"19",20200526,"HH",3.66,0.75
"20",20200527,"HH",3.8,0.72
"21",20200528,"HH",3.91,0.67
"22",20200529,"HH",4,0.61
"23",20200530,"HH",4.1,0.57
"24",20200531,"HH",4.18,0.53
"25",20200602,"HH",4.32,0.49
"26",20200603,"HH",4.47,0.47
"27",20200604,"HH",4.64,0.47
"28",20200605,"HH",4.85,0.46
"29",20200606,"HH",5.08,0.45
"30",20200607,"HH",5.32,0.45
"31",20200609,"HH",5.5,0.44
"32",20200610,"HH",5.67,0.44
"33",20200611,"HH",5.85,0.44
"34",20200612,"HH",6.04,0.44
"35",20200613,"HH",6.25,0.44
"36",20200614,"HH",6.41,0.44
"37",20200616,"HH",6.59,0.45
"38",20200617,"HH",6.7,0.45
"39",20200618,"HH",6.83,0.45
"40",20200619,"HH",6.94,0.44
"41",20200620,"HH",7.02,0.44
"42",20200621,"HH",7.1,0.43
"43",20200623,"HH",7.12,0.43
"44",20200624,"HH",7.13,0.43
"45",20200625,"HH",7.13,0.42
"46",20200626,"HH",7.07,0.42
"47",20200627,"HH",6.95,0.42
"48",20200628,"HH",6.83,0.42
"49",20200701,"HH",6.71,0.42
"50",20200702,"HH",6.56,0.42
"51",20200703,"HH",6.4,0.42
"52",20200704,"HH",6.22,0.42
"53",20200705,"HH",6.04,0.42
"54",20200707,"HH",5.9,0.42
"55",20200708,"HH",5.73,0.41
"56",20200709,"HH",5.59,0.41
"57",20200710,"HH",5.43,0.41
"58",20200711,"HH",5.29,0.41
"59",20200713,"HH",5.16,0.4
"60",20200714,"HH",5.03,0.4
"61",20200715,"HH",4.91,0.4
"62",20200716,"HH",4.81,0.39
"63",20200717,"HH",4.73,0.39
"64",20200718,"HH",4.66,0.39
"65",20200719,"HH",4.62,0.38
